AuctId,Bid,Time,Length
2920317714,0.01,1.45641,7
2920317714,10.5,1.46728,7
2920317714,15.5,1.46743,7
2920317714,17.25,1.48229,7
2920317714,26,1.62227,7
2920317714,33.85,1.90719,7
2920317714,36.85,1.90741,7
2920317714,41.25,1.90792,7
2920317714,44.02,1.90822,7
2920317714,47,2.06006,7
2920317714,49,3.18942,7
2920317714,51,3.61534,7
2920317714,53,3.82137,7
2920317714,76,4.0331,7
2920317714,91,4.15194,7
2920317714,102.5,4.8828,7
2920317714,122.5,4.98822,7
2920317714,132.5,5.02484,7
2920317714,152.5,5.14155,7
2920317714,162.5,5.14171,7
2920317714,172.5,5.14188,7
2920317714,182.5,5.50279,7
2920317714,197.5,5.71531,7
2920317714,200,5.7158,7
2920317714,202.5,5.90829,7
2920317714,207.5,5.9577,7
2920317714,212.5,5.97255,7
2920317714,222.5,6.91679,7
2920317714,236.5,6.9363,7
2920317714,250,6.95743,7
2920317714,255,6.97439,7
2920317714,260,6.97751,7
2920320059,0.01,1.4036,3
2920320059,30.75,1.44493,3
2920320059,51,1.45184,3
2920320059,100,1.5117,3
2920320059,102.5,1.73032,3
2920320059,118.25,1.83111,3
2920320059,128.5,1.83222,3
2920320059,148.25,1.8815,3
2920320059,154.5,2.02583,3
2920320059,174.5,2.04309,3
2920320059,179.5,2.04764,3
2920320059,200,2.08123,3
2920320059,202.5,2.08149,3
2920320059,207.5,2.15163,3
2920320059,211.29,2.22221,3
2920320059,217.5,2.55299,3
2920320059,227.5,2.5537,3
2920320059,232.5,2.55424,3
2920320059,237.5,2.55559,3
2920320059,240,2.55612,3
2920320059,242.5,2.5767,3
2920320059,247.5,2.69587,3
2920320059,251.86,2.69597,3
2920320059,256.86,2.69617,3
2920322392,0.01,1.43791,5
2920322392,1.25,1.77995,5
2920322392,2.25,1.94888,5
2920322392,5.5,1.94964,5
2920322392,10.5,1.9499,5
2920322392,15.5,1.9508,5
2920322392,20.5,1.95122,5
2920322392,26,2.00767,5
2920322392,28,2.00813,5
2920322392,31,2.01419,5
2920322392,36,2.01441,5
2920322392,50,2.01481,5
2920322392,51,2.01517,5
2920322392,56,2.02054,5
2920322392,59,2.04178,5
2920322392,66,2.85693,5
2920322392,102.5,3.46043,5
2920322392,122.5,3.59774,5
2920322392,125,3.66049,5
2920322392,127.5,4.02281,5
2920322392,152.5,4.05243,5
2920322392,157.5,4.05513,5
2920322392,167.5,4.06443,5
2920322392,193.56,4.06497,5
2920322392,200,4.63941,5
2920322392,202.5,4.90398,5
2920322392,227.5,4.92611,5
2920322392,232.5,4.92821,5
2920322392,237.5,4.9285,5
2920322392,241.4,4.94738,5
2920322392,255,4.99868,5
2920322392,260,4.99927,5
2920504693,0.01,0.48513,7
2920504693,0.06,0.578,7
2920504693,10.5,0.64245,7
2920504693,20.5,0.64259,7
2920504693,31,0.64267,7
2920504693,36,0.64277,7
2920504693,46.01,0.64287,7
2920504693,49,0.97539,7
2920504693,51,1.62326,7
2920504693,53.5,2.10383,7
2920504693,76,2.52994,7
2920504693,100,2.81292,7
2920504693,102.5,2.8131,7
2920504693,112.5,2.95437,7
2920504693,117.5,3.07458,7
2920504693,142.5,3.53089,7
2920504693,162.5,3.91347,7
2920504693,172.5,3.91368,7
2920504693,202.5,4.48059,7
2920504693,205,6.66458,7
2920504693,207.5,6.66515,7
2920504693,212.51,6.70912,7
2920504693,218,6.72319,7
2920504693,227.5,6.81559,7
2920504693,238.02,6.99983,7
3013377929,0.01,0.08417,10
3013377929,1.25,0.12041,10
3013377929,10.5,0.17834,10
3013377929,11.5,1.1823,10
3013377929,15.5,1.18991,10
3013377929,31,2.05721,10
3013377929,41,2.05749,10
3013377929,51,2.84223,10
3013377929,61,2.90028,10
3013377929,70.69,2.90046,10
3013377929,76,5.79344,10
3013377929,81,6.46968,10
3013377929,90,7.82425,10
3013377929,91,7.85082,10
3013377929,102.49,9.25668,10
3013377929,131.49,9.63279,10
3013377929,142.19,9.91206,10
3013377929,162.5,9.94876,10
3013377929,167.5,9.94934,10
3013377929,172.5,9.95194,10
3013377929,175,9.97639,10
3013377929,177.5,9.97688,10
3013377929,182.5,9.98524,10
3013377929,190,9.98747,10
3013377929,192.5,9.99975,10
3013787547,1,0.09819,7
3013787547,2.25,0.52373,7
3013787547,3.25,0.5239,7
3013787547,10,0.52416,7
3013787547,10.5,0.52527,7
3013787547,11.5,0.77338,7
3013787547,22.5,0.79229,7
3013787547,28.5,0.79265,7
3013787547,36,0.79372,7
3013787547,41,0.79398,7
3013787547,102.5,1.90184,7
3013787547,177.5,2.8991,7
3013787547,187.5,4.04524,7
3013787547,200,4.45076,7
3013787547,213.19,4.45749,7
3013787547,221.5,5.17566,7
3013787547,226.5,6.94006,7
3013787547,231.5,6.94017,7
3013839128,9.99,0.12095,7
3013839128,31,0.20502,7
3013839128,36,0.66706,7
3013839128,41,0.95291,7
3013839128,51,0.95299,7
3013839128,61,1.08919,7
3013839128,63,1.09766,7
3013839128,70,1.13818,7
3013839128,71,1.35903,7
3013839128,89,2.55685,7
3013839128,90.69,3.10281,7
3013839128,137.5,3.1744,7
3013839128,150,3.28028,7
3013839128,152.5,3.28044,7
3013839128,162.19,3.28862,7
3013839128,182.5,4.36833,7
3013839128,191.5,4.36848,7
3013839128,212.5,6.322,7
3013839128,217.5,6.50962,7
3013839128,228.5,6.57052,7
3013839128,237.5,6.98344,7
3013839128,251.11,6.99924,7
3013874420,215,4.30582,7
3013874420,217.5,6.743,7
3013874420,220,6.98481,7
3013874420,222.5,6.98515,7
3013874420,225,6.99418,7
3013874420,227.5,6.99434,7
3013874420,242.5,6.99718,7
3013874420,245,6.9975,7
3013874420,247.5,6.99766,7
3013884772,155,0.13826,7
3013884772,157.5,3.36528,7
3013884772,162.51,6.69711,7
3013884772,167.51,6.81655,7
3013884772,177.5,6.81691,7
3013884772,192.5,6.81722,7
3013884772,200,6.81741,7
3013884772,202.5,6.92476,7
3013884772,205.5,6.95086,7
3013884772,210,6.95861,7
3013884772,212.5,6.9588,7
3013884772,215.5,6.9617,7
3013884772,220.5,6.97361,7
3013884772,225.01,6.97378,7
3013884772,227.51,6.97398,7
3013884772,230.01,6.98353,7
3013884772,235,6.98711,7
3013884772,237.5,6.98726,7
3013912877,50,0.17017,7
3013912877,51,0.63686,7
3013912877,51,0.63748,7
3013912877,76,1.20961,7
3013912877,76,1.20983,7
3013912877,77,1.67221,7
3013912877,122.5,3.79575,7
3013912877,127.5,4.03796,7
3013912877,142.5,4.03816,7
3013912877,152.5,4.03833,7
3013912877,157.5,4.67493,7
3013912877,160,4.67525,7
3013912877,162.5,4.67667,7
3013912877,165,6.04902,7
3013912877,172.5,6.27389,7
3013912877,177.5,6.27428,7
3013912877,182.5,6.27454,7
3013912877,192.5,6.27529,7
3013912877,200,6.27572,7
3013912877,202.5,6.91917,7
3013912877,222.5,6.94009,7
3013912877,227.5,6.94028,7
3013912877,232.5,6.9798,7
3013951754,140,3.04558,5
3013951754,132.5,3.95325,5
3013951754,137.5,4.07134,5
3013951754,142.5,4.78457,5
3013951754,152.5,4.80118,5
3013951754,155,4.81338,5
3013951754,162.5,4.84536,5
3013951754,170,4.84625,5
3013951754,172.5,4.8465,5
3013951754,175.5,4.8699,5
3013951754,180.5,4.8802,5
3013951754,185.5,4.88056,5
3013951754,190.5,4.88082,5
3013951754,195.5,4.88104,5
3013951754,200.5,4.89443,5
3013951754,227.5,4.90876,5
3013951754,232.5,4.93648,5
3013951754,242.5,4.9659,5
3014012075,225,4.88691,5
3014012075,232.5,4.95267,5
3014012075,242.5,4.95834,5
